date,sku,sales_qty
2024-01-01,PROD001,22
2024-01-02,PROD001,19
2024-01-03,PROD001,25
2024-01-04,PROD001,23
2024-01-05,PROD001,17
2024-01-06,PROD001,28
2024-01-07,PROD001,29
2024-01-08,PROD001,26
2024-01-09,PROD001,20
2024-01-10,PROD001,26
2024-01-11,PROD001,21
2024-01-12,PROD001,19
2024-01-13,PROD001,27
2024-01-14,PROD001,35
2024-01-15,PROD001,24
2024-01-16,PROD001,0
2024-01-17,PROD001,18
2024-01-18,PROD001,21
2024-01-19,PROD001,25
2024-01-20,PROD001,34
2024-01-21,PROD001,40
2024-01-22,PROD001,28
2024-01-23,PROD001,20
2024-01-24,PROD001,20
2024-01-25,PROD001,0
2024-01-26,PROD001,20
2024-01-27,PROD001,30
2024-01-28,PROD001,25
2024-01-29,PROD001,24
2024-01-30,PROD001,30
2024-01-31,PROD001,23
2024-02-01,PROD001,23
2024-02-02,PROD001,27
2024-02-03,PROD001,29
2024-02-04,PROD001,29
2024-02-05,PROD001,29
2024-02-06,PROD001,29
2024-02-07,PROD001,30
2024-02-08,PROD001,32
2024-02-09,PROD001,28
2024-02-10,PROD001,36
2024-02-11,PROD001,0
2024-02-12,PROD001,20
2024-02-13,PROD001,32
2024-02-14,PROD001,20
2024-02-15,PROD001,39
2024-02-16,PROD001,25
2024-02-17,PROD001,26
2024-02-18,PROD001,44
2024-02-19,PROD001,19
2024-02-20,PROD001,32
2024-02-21,PROD001,23
2024-02-22,PROD001,20
2024-02-23,PROD001,22
2024-02-24,PROD001,34
2024-02-25,PROD001,33
2024-02-26,PROD001,27
2024-02-27,PROD001,33
2024-02-28,PROD001,30
2024-02-29,PROD001,28
2024-03-01,PROD001,23
2024-03-02,PROD001,32
2024-03-03,PROD001,25
2024-03-04,PROD001,32
2024-03-05,PROD001,26
2024-03-06,PROD001,27
2024-03-07,PROD001,21
2024-03-08,PROD001,23
2024-03-09,PROD001,31
2024-03-10,PROD001,25
2024-03-11,PROD001,32
2024-03-12,PROD001,0
2024-03-13,PROD001,27
2024-03-14,PROD001,26
2024-03-15,PROD001,33
2024-03-16,PROD001,35
2024-03-17,PROD001,40
2024-03-18,PROD001,12
2024-03-19,PROD001,23
2024-03-20,PROD001,25
2024-03-21,PROD001,27
2024-03-22,PROD001,25
2024-03-23,PROD001,36
2024-03-24,PROD001,40
2024-03-25,PROD001,21
2024-03-26,PROD001,19
2024-03-27,PROD001,31
2024-03-28,PROD001,35
2024-03-29,PROD001,27
2024-03-30,PROD001,24
2024-03-31,PROD001,0
2024-04-01,PROD001,33
2024-04-02,PROD001,24
2024-04-03,PROD001,20
2024-04-04,PROD001,34
2024-04-05,PROD001,33
2024-04-06,PROD001,35
2024-04-07,PROD001,48
2024-04-08,PROD001,27
2024-04-09,PROD001,28
2024-04-10,PROD001,29
2024-04-11,PROD001,32
2024-04-12,PROD001,18
2024-04-13,PROD001,40
2024-04-14,PROD001,37
2024-04-15,PROD001,30
2024-04-16,PROD001,0
2024-04-17,PROD001,25
2024-04-18,PROD001,31
2024-04-19,PROD001,28
2024-04-20,PROD001,39
2024-04-21,PROD001,34
2024-04-22,PROD001,35
2024-04-23,PROD001,26
2024-04-24,PROD001,31
2024-04-25,PROD001,33
2024-04-26,PROD001,24
2024-04-27,PROD001,36
2024-04-28,PROD001,36
2024-04-29,PROD001,24
2024-04-30,PROD001,36
2024-05-01,PROD001,39
2024-05-02,PROD001,31
2024-05-03,PROD001,25
2024-05-04,PROD001,50
2024-05-05,PROD001,48
2024-05-06,PROD001,28
2024-05-07,PROD001,23
2024-05-08,PROD001,0
2024-05-09,PROD001,25
2024-05-10,PROD001,36
2024-05-11,PROD001,37
2024-05-12,PROD001,46
2024-05-13,PROD001,37
2024-05-14,PROD001,36
2024-05-15,PROD001,42
2024-05-16,PROD001,24
2024-05-17,PROD001,35
2024-05-18,PROD001,56
2024-05-19,PROD001,42
2024-05-20,PROD001,37
2024-05-21,PROD001,33
2024-05-22,PROD001,28
2024-05-23,PROD001,17
2024-05-24,PROD001,43
2024-05-25,PROD001,39
2024-05-26,PROD001,41
2024-05-27,PROD001,40
2024-05-28,PROD001,44
2024-05-29,PROD001,33
2024-05-30,PROD001,37
2024-05-31,PROD001,0
2024-06-01,PROD001,36
2024-06-02,PROD001,48
2024-06-03,PROD001,33
2024-06-04,PROD001,40
2024-06-05,PROD001,28
2024-06-06,PROD001,32
2024-06-07,PROD001,31
2024-06-08,PROD001,40
2024-06-09,PROD001,0
2024-06-10,PROD001,32
2024-06-11,PROD001,35
2024-06-12,PROD001,30
2024-06-13,PROD001,33
2024-06-14,PROD001,0
2024-06-15,PROD001,36
2024-06-16,PROD001,0
2024-06-17,PROD001,32
2024-06-18,PROD001,35
2024-06-19,PROD001,31
2024-06-20,PROD001,35
2024-06-21,PROD001,33
2024-06-22,PROD001,0
2024-06-23,PROD001,54
2024-06-24,PROD001,35
